subject_id	group	tumor_size	time_point	batch
b2_m4	M	0	7	batch_2
b2_m5	M	0	7	batch_2
b2_m6	M	0	7	batch_2
b2_m7	M	0	7	batch_2
b2_m8	M	0	7	batch_2
b2_9m	M	0	7	batch_2
b2_m10	M	0	7	batch_2
b2_m11	M	0.08	7	batch_2
b2_m12	M	0	7	batch_2
b2_m13	M	0	7	batch_2
b2_m14	M	0	7	batch_2
b2_m15	M	0	7	batch_2
b2_m16	M	0	7	batch_2
b2_m17	M	0	7	batch_2
b2_mbif1	M_BIF	0.08	7	batch_2
b2_mbif2	M_BIF	0	7	batch_2
b2_mbif3	M_BIF	0	7	batch_2
b2_mbif4	M_BIF	0	7	batch_2
b2_mbif5	M_BIF	0	7	batch_2
b2_mbif6	M_BIF	0	7	batch_2
b2_mbif7	M_BIF	0	7	batch_2
b2_mbif8	M_BIF	0.125	7	batch_2
b2_mbif9	M_BIF	0.125	7	batch_2
b2_mbif10	M_BIF	0	7	batch_2
b2_mbif11	M_BIF	0	7	batch_2
b2_mbif12	M_BIF	0	7	batch_2
b2_mbif13	M_BIF	0	7	batch_2
b2_mbif14	M_BIF	0	7	batch_2
b2_mbif15	M_BIF	0	7	batch_2
b2_mbif16	M_BIF	0	7	batch_2
b2_mbif17	M_BIF	0	7	batch_2
b2_m1	M	0.125	8	batch_2
b2_m2	M	0.18	8	batch_2
b2_m3	M	0.08	8	batch_2
b2_m4	M	0.125	8	batch_2
b2_m5	M	0	8	batch_2
b2_m6	M	0	8	batch_2
b2_m7	M	0	8	batch_2
b2_m8	M	0	8	batch_2
b2_9m	M	0	8	batch_2
b2_m10	M	0	8	batch_2
b2_m11	M	0.32	8	batch_2
b2_m12	M	0.125	8	batch_2
b2_m13	M	0.405	8	batch_2
b2_m14	M	0.5	8	batch_2
b2_m15	M	0.125	8	batch_2
b2_m16	M	0	8	batch_2
b2_m17	M	0	8	batch_2
b2_mbif1	M_BIF	0.245	8	batch_2
b2_mbif2	M_BIF	0.18	8	batch_2
b2_mbif3	M_BIF	0.405	8	batch_2
b2_mbif4	M_BIF	0.08	8	batch_2
b2_mbif5	M_BIF	0	8	batch_2
b2_mbif6	M_BIF	0	8	batch_2
b2_mbif7	M_BIF	0	8	batch_2
b2_mbif8	M_BIF	0.405	8	batch_2
b2_mbif9	M_BIF	0.245	8	batch_2
b2_mbif10	M_BIF	0.32	8	batch_2
b2_mbif11	M_BIF	0.08	8	batch_2
b2_mbif12	M_BIF	0.18	8	batch_2
b2_mbif13	M_BIF	0.5	8	batch_2
b2_mbif14	M_BIF	0.08	8	batch_2
b2_mbif15	M_BIF	0	8	batch_2
b2_mbif16	M_BIF	0	8	batch_2
b2_mbif17	M_BIF	0	8	batch_2
b2_m1	M	0.18	9	batch_2
b2_m2	M	0.32	9	batch_2
b2_m3	M	0.125	9	batch_2
b2_m4	M	0.18	9	batch_2
b2_m5	M	0.32	9	batch_2
b2_m6	M	0.08	9	batch_2
b2_m7	M	0.125	9	batch_2
b2_m8	M	0.08	9	batch_2
b2_9m	M	0.08	9	batch_2
b2_m10	M	0.125	9	batch_2
b2_m11	M	0.5	9	batch_2
b2_m12	M	0.18	9	batch_2
b2_m13	M	0.5	9	batch_2
b2_m14	M	0.605	9	batch_2
b2_m15	M	0.125	9	batch_2
b2_m16	M	0.08	9	batch_2
b2_m17	M	0	9	batch_2
b2_mbif1	M_BIF	0.405	9	batch_2
b2_mbif2	M_BIF	0.32	9	batch_2
b2_mbif3	M_BIF	0.605	9	batch_2
b2_mbif4	M_BIF	0.18	9	batch_2
b2_mbif5	M_BIF	0.125	9	batch_2
b2_mbif6	M_BIF	0.125	9	batch_2
b2_mbif7	M_BIF	0.08	9	batch_2
b2_mbif8	M_BIF	0.5	9	batch_2
b2_mbif9	M_BIF	0.405	9	batch_2
b2_mbif10	M_BIF	0.5	9	batch_2
b2_mbif11	M_BIF	0.18	9	batch_2
b2_mbif12	M_BIF	0.245	9	batch_2
b2_mbif13	M_BIF	0.5	9	batch_2
b2_mbif14	M_BIF	0.18	9	batch_2
b2_mbif15	M_BIF	0.18	9	batch_2
b2_mbif16	M_BIF	0.125	9	batch_2
b2_mbif17	M_BIF	0.18	9	batch_2
b2_m1	M	0.56	11	batch_2
b2_m2	M	0.225	11	batch_2
b2_m3	M	0.125	11	batch_2
b2_m4	M	0.42	11	batch_2
b2_m5	M	0.245	11	batch_2
b2_m6	M	0.405	11	batch_2
b2_m7	M	0.045	11	batch_2
b2_m8	M	1.28	11	batch_2
b2_9m	M	0.32	11	batch_2
b2_m10	M	0.32	11	batch_2
b2_m11	M	0.5	11	batch_2
b2_m12	M	0.605	11	batch_2
b2_m13	M	0.18	11	batch_2
b2_m14	M	0.18	11	batch_2
b2_m15	M	0.72	11	batch_2
b2_m16	M	0.98	11	batch_2
b2_m17	M	0.25	11	batch_2
b2_mbif1	M_BIF	1.28	11	batch_2
b2_mbif2	M_BIF	0.85	11	batch_2
b2_mbif3	M_BIF	0.49	11	batch_2
b2_mbif4	M_BIF	0.25	11	batch_2
b2_mbif5	M_BIF	0.825	11	batch_2
b2_mbif6	M_BIF	0.605	11	batch_2
b2_mbif7	M_BIF	0.245	11	batch_2
b2_mbif8	M_BIF	0.5	11	batch_2
b2_mbif9	M_BIF	0.72	11	batch_2
b2_mbif10	M_BIF	0.18	11	batch_2
b2_mbif11	M_BIF	0.245	11	batch_2
b2_mbif12	M_BIF	0.845	11	batch_2
b2_mbif13	M_BIF	0.98	11	batch_2
b2_mbif14	M_BIF	0.605	11	batch_2
b2_mbif15	M_BIF	0.565	11	batch_2
b2_mbif16	M_BIF	0.18	11	batch_2
b2_mbif17	M_BIF	0.405	11	batch_2
b2_m1	M	1.3	14	batch_2
b2_m2	M	0.845	14	batch_2
