superkingdom	phylum	class	order	family	genus
t1846	Bacteria	Firmicutes	Clostridia	Peptostreptococcales	Anaerovoracaceae	BX12
t2375	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Helicobacteraceae	Helicobacter_C
t3531	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Selenomonadaceae	Pectinatus
t4870	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	UBA7160
t5033	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Angelakisella
t8407	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Phocea
t1355	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus_C
t5291	Bacteria	Firmicutes	Clostridia	Acetivibrionales	Acetivibrionaceae	Anaerobacterium
t2753	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Herbinix
t4116	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	RUG115
t5615	Bacteria	Firmicutes	Clostridia	TANB77	CAG-508	CAG-269
t7524	Bacteria	Firmicutes	Bacilli	Bacillales_B	Bacillaceae_C	Bacillus_AH
t3793	Bacteria	Firmicutes	Clostridia	Acetivibrionales	Acetivibrionaceae	Herbivorax
t4875	Bacteria	Firmicutes	Clostridia	TANB77	CAG-508	CAG-452
t8108	Bacteria	Firmicutes	Clostridia_A	Christensenellales	UBA1242	UBA7862
t4433	Bacteria	Firmicutes	Clostridia_A	Christensenellales	CAG-138	CAG-1024
t4463	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Saccharimonadaceae	UBA2834
t1122	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Serratia
